number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_ff,params_d_model,params_decoder_dim1,params_decoder_dim2,params_decoder_dim3,params_dropout,params_learning_rate,params_num_heads,params_num_layers,state
0,0.31477244579496766,2026-01-16 07:05:30.889384,2026-01-16 07:16:49.106543,0 days 00:11:18.217159,128,1024,128,1024,1024,128,0.22811895782703867,0.00020625116699982395,16,10,COMPLETE
1,0.24534264977468379,2026-01-16 07:16:49.108098,2026-01-16 07:27:25.673768,0 days 00:10:36.565670,64,256,128,2048,512,512,0.35866836498580346,1.939507630868278e-05,16,7,COMPLETE
2,0.3017567673435767,2026-01-16 07:27:25.675415,2026-01-16 07:44:36.662805,0 days 00:17:10.987390,64,256,256,1024,256,128,0.24127816161530044,0.0006370425085217582,4,8,COMPLETE
3,0.4154892705978157,2026-01-16 07:44:36.664250,2026-01-16 07:55:06.344418,0 days 00:10:29.680168,64,256,256,512,1024,512,0.17267937201572656,4.1204379775998044e-05,16,5,COMPLETE
4,0.29537610819519133,2026-01-16 07:55:06.346340,2026-01-16 08:09:01.712797,0 days 00:13:55.366457,64,256,128,512,256,512,0.26593599587356065,1.5580870531942518e-05,16,9,COMPLETE
5,0.15030874824846285,2026-01-16 08:09:01.714655,2026-01-16 08:14:15.292954,0 days 00:05:13.578299,64,256,64,512,256,128,0.2658249954323274,1.64433811906258e-05,16,10,PRUNED
6,0.3753348043788991,2026-01-16 08:14:15.294587,2026-01-16 08:25:24.009831,0 days 00:11:08.715244,64,1024,64,2048,256,512,0.3425903693394924,0.0008335098270231655,16,4,COMPLETE
7,0.4482876192130739,2026-01-16 08:25:24.012071,2026-01-16 08:39:24.941342,0 days 00:14:00.929271,32,512,256,512,512,128,0.17916511749473502,0.00010446748481323986,8,6,COMPLETE
8,0.4792004810488938,2026-01-16 08:39:24.943514,2026-01-16 08:57:09.643799,0 days 00:17:44.700285,64,512,256,512,1024,128,0.13718278080892743,7.632939011096805e-05,16,9,COMPLETE
9,0.3723587979034395,2026-01-16 08:57:09.645333,2026-01-16 09:13:04.570085,0 days 00:15:54.924752,32,1024,64,512,512,512,0.3166888755985924,0.000663316041819746,4,5,COMPLETE
10,0.45985142233723786,2026-01-16 09:13:04.571617,2026-01-16 09:25:13.715323,0 days 00:12:09.143706,128,512,256,1024,1024,256,0.10946721458943554,5.9999094900608814e-05,8,8,COMPLETE
